uid,current_country,vacation_type,seasons,budget,country_pref,distance,place_type
0siqJsKFvhYFUA4I58TZ2d2bArG2,America,Nature,Summer,Luxury,blah,Outside of your Continent,Quiet
EHXkfal6iIWChRmoA5ZceNgNkiN2,Kansas,"Religious,Nature",Fall,Budget Friendly,US,Anywhere,Quiet
HLsQF7yIBdSvkRQlpwt5XvNU1kk2,Dubai,"Adventure,Historical","Summer,Winter",Premium,USA,"Within your Country,Within your Continent","Quiet,Moderate"
IaxccIdYEgNarpiY7uD8mCHjWaj2,America,"Beach,City",Fall,Luxury,Greece,Outside of your Continent,
L5e5BzI7IPgf2OWD2IESUqZGdrk1,America,Historical,Fall,Mid-Range,Italy,Outside of your Continent,Busy
S3trdlnCQTS5lWwXChgNrytk1Yw1,Canada,Beach,"Spring,Fall","Budget Friendly,Mid-Range",US,Outside of your Continent,"Moderate,Quiet"
UcYE4CJ2juO0lqqRwD1egMCrs3g1,aaaaa,Adventure,"Winter,Spring,Summer","Luxury,Budget Friendly,Mid-Range,Premium",fhasdkjfhaslkdjfhaskdjfhaskldfhaslkdfhalsdfhaksjdfhalkdjhfslaksdjfh,"Within your Country,Within your Continent",
VkP1M3zNKoPQEneFDWPv9QuW32s2,USA,Historical,"Winter,Spring",Mid-Range,USA,Within your Country,Moderate
YAyHwSOXzWarcgUxIDPjzgzH7122,1,Religious,Winter,Premium,1,Anywhere,Moderate
dy4v61REIEP9ReWDwQZ7aPpMtA93,America,Nature,Summer,Budget Friendly,Greece,Outside of your Continent,Quiet
fLIjnNj7ncW6hZaGILc5rdFWPRr1,Antartica,"Beach,Nature","Fall,Summer",Budget Friendly,Egypt,Within your Country,Quiet
hMJObuu0GmV6oM2no0XN2eQd1hS2,India,"Beach,Adventure,Historical","Spring,Summer","Luxury,Mid-Range",India,"Within your Country,Anywhere",Quiet
rgIezwvkczfoTHAF9qI1OBICIAz2,abc,Religious,Winter,"Budget Friendly,Mid-Range,Premium,Luxury",hellllooo,Anywhere,Quiet
yg3r8sTpcUYiJDvvwlVAr3irKtn1,US,Adventure,Winter,Mid-Range,Japan,Within your Continent,Moderate
z5enzarNSQTCddD0qwECU7PzP1h2,USA,Beach,"Spring,Summer",Budget Friendly,USA,Within your Country,Busy
zcq7CdluindoxUyw4qYYiZBZe6R2,as,Religious,"Winter,Fall",Premium,fad,Anywhere,Busy
zf0Ofs50amcGQrXqX8K8E5Swq8U2,US,Adventure,Fall,Luxury,Canada,Within your Country,Quiet
